ENSDART00000109356	klf7a
ENSDART00000133959	clockb
ENSDART00000124112	pou4f2
ENSDART00000113087	hmx1
ENSDART00000122628	junba
ENSDART00000138821	nfil3
ENSDART00000047541	bach1b
ENSDART00000136245	cux1a
ENSDART00000081170	cux1a
ENSDART00000131731	mef2ca
ENSDART00000026017	bhlhe40
ENSDART00000055709	her2
ENSDART00000055706	her15.2
ENSDART00000152489	irf3
ENSDART00000057124	tefa
ENSDART00000057125	tefa
ENSDART00000044860	maff
ENSDART00000153187	thrab
ENSDART00000066317	foxn2b
ENSDART00000077157	six3b
ENSDART00000047724	zeb1b
ENSDART00000076161	hoxb5b
ENSDART00000153167	hlfb
ENSDART00000080808	six3a
ENSDART00000135381	six4a
ENSDART00000008373	fosl1a
ENSDART00000146767	fosl1a
ENSDART00000170631	ebf3a
ENSDART00000018945	meis3
ENSDART00000160675	dpf1
ENSDART00000171642	dpf1
ENSDART00000154418	relb
ENSDART00000123197	relb
ENSDART00000122101	tbx2b
ENSDART00000018603	tbx4
ENSDART00000167052	etv1
ENSDART00000086051	mecom
ENSDART00000159652	sox4b
ENSDART00000051693	irx4a
ENSDART00000016303	irx2a
ENSDART00000162474	irx1a
ENSDART00000125158	znf574
ENSDART00000139102	dbpb
ENSDART00000132589	mef2d
ENSDART00000013148	pou3f1
ENSDART00000017185	tbx20
ENSDART00000030773	foxo3a
ENSDART00000151904	foxn3
ENSDART00000154646	bcl11ba
ENSDART00000144894	bcl11ba
ENSDART00000104327	vsx1
ENSDART00000166976	esrrga
ENSDART00000110040	sox11a
ENSDART00000075331	insm1b
ENSDART00000061106	bhlhe41
ENSDART00000142584	alx1
ENSDART00000083296	(null)
ENSDART00000171594	mef2aa
ENSDART00000148106	mef2aa
ENSDART00000130163	nr2f2
ENSDART00000133487	fosb
ENSDART00000011890	zbtb22a
ENSDART00000012791	sp8a
ENSDART00000091707	dbpa
ENSDART00000148353	usf2
ENSDART00000131134	foxo6b
ENSDART00000127353	nr1d2b
ENSDART00000166313	thrb
ENSDART00000026992	sox4a
ENSDART00000103640	hey1
ENSDART00000108775	ubp1
ENSDART00000138081	bcl6ab
ENSDART00000165698	pbx1a
ENSDART00000063912	jun
ENSDART00000048110	six4b
ENSDART00000152636	clocka
ENSDART00000025575	clocka
ENSDART00000132119	max
ENSDART00000141068	sox11b
ENSDART00000062982	foxo3b
ENSDART00000022060	atf3
ENSDART00000075070	hsf2
ENSDART00000124040	insm1a
ENSDART00000074833	rx3
ENSDART00000004548	barhl1b
ENSDART00000136729	ebf1b
ENSDART00000100508	ebf1b
ENSDART00000085728	klf8
ENSDART00000123970	mntb
ENSDART00000005720	stat1a
ENSDART00000161610	tcf3b
ENSDART00000089015	zbtb7a
ENSDART00000104751	mxi1
ENSDART00000167538	lcor
ENSDART00000010248	mitfb
ENSDART00000054736	bhlhe23
ENSDART00000000876	nr4a1
ENSDART00000122429	klf15
ENSDART00000164711	nfatc2a
ENSDART00000093331	rreb1a
ENSDART00000147849	klf6a
ENSDART00000033494	klf6a
ENSDART00000082346	tfap2a
ENSDART00000082434	tgif1
ENSDART00000152378	tgif1
ENSDART00000144186	pou6f2
ENSDART00000111014	myca
ENSDART00000066655	mybl1
ENSDART00000147658	bhlhe22
ENSDART00000003884	mynn
ENSDART00000166834	rfx7b
ENSDART00000162485	pax6a
ENSDART00000165774	pax6a
ENSDART00000164349	e2f4
ENSDART00000023959	arntl1a
ENSDART00000127099	nr2e3
ENSDART00000103622	irf7
ENSDART00000012862	isl2a
ENSDART00000148537	roraa
ENSDART00000087450	klf13
ENSDART00000092690	srebf2
ENSDART00000169609	tefb
ENSDART00000127157	hlfa
ENSDART00000104519	stat3
ENSDART00000080854	stat3
ENSDART00000024832	stat5a
ENSDART00000139763	stat5a
ENSDART00000126282	nr1d1
ENSDART00000055609	atf4b
ENSDART00000151127	thraa
ENSDART00000151575	thraa
ENSDART00000167844	mafk
ENSDART00000156935	pbx4
ENSDART00000092665	srebf1
ENSDART00000140760	e2f7
ENSDART00000158466	creb3l2
ENSDART00000157487	tfec
ENSDART00000142087	foxp2
ENSDART00000162945	sox5
ENSDART00000056005	ascl1a
ENSDART00000051549	tp53
ENSDART00000089748	rorb
ENSDART00000005263	usf1l
ENSDART00000037879	crx
ENSDART00000010896	isl1
ENSDART00000163250	mef2cb
ENSDART00000013605	zbtb20
ENSDART00000006380	tbx3a
ENSDART00000165223	pbx1b
ENSDART00000025031	pou4f1
ENSDART00000065361	etv5b
ENSDART00000165609	barhl2
ENSDART00000131126	bcl6aa
ENSDART00000065139	gfi1ab
ENSDART00000064833	mafaa
ENSDART00000023613	her6
ENSDART00000148661	stat2
ENSDART00000056457	mitfa
ENSDART00000128174	foxp1b
ENSDART00000150128	foxp1b
ENSDART00000093199	tead3b
ENSDART00000083628	ddit3
ENSDART00000165757	pax6b
ENSDART00000128488	e2f8
ENSDART00000033755	homezb
ENSDART00000150068	sox6
ENSDART00000055936	isl2b
ENSDART00000036729	spi1b
ENSDART00000093279	spi1b
ENSDART00000045374	smad3a
ENSDART00000111303	rfx7a
ENSDART00000162850	irx3a
ENSDART00000052366	cebpa
ENSDART00000172251	creb3l1
ENSDART00000009938	tcf12
ENSDART00000161387	tcf12
ENSDART00000104523	arntl1b
ENSDART00000170575	nfat5b
ENSDART00000167440	zfhx3
ENSDART00000040672	mecp2
ENSDART00000057644	lhx4
ENSDART00000062702	cebpb
ENSDART00000053782	scrt2
ENSDART00000048994	pbx3b
ENSDART00000138048	pbx3b
ENSDART00000110512	ybx1
ENSDART00000157890	tcf7l1b
ENSDART00000062854	nfe2l2a
ENSDART00000001795	sp3a
ENSDART00000125174	nr1i2
ENSDART00000104317	klf7b
ENSDART00000007630	nhlh2
ENSDART00000000280	stat1b
ENSDART00000141792	stat1b
ENSDART00000006612	tbr1b
ENSDART00000149175	pou4f3
